b0_iriL_all,b0_mel0_all,center_stripe_rad_all,iriLmel_density_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_pca_ratio_iriL_all,med_pca_ratio_iriL_all,alignment_score_all,med_cluster_size_all,mean_cluster_size_all,cluster_size_75_all,annulus_In_MB
0,86,0,0,178.618277857159,4915.73322060488,39.2525842951602,NaN,NaN,0,0,0,0,35
0,67,0,0,196.695789205693,8066.13958238769,45.6601994007832,NaN,NaN,0,0,0,0,35
0,64,0,0,192.625592148737,7195.67733194402,44.0374186036763,NaN,NaN,0,0,0,0,35
0,76,0,0,178.254555885795,4460.45605084875,37.4670063384695,NaN,NaN,0,0,0,0,35
0,76,0,0,170.290949483131,3273.29206987468,33.5970242013121,NaN,NaN,0,0,0,0,35
0,74,0,0,174.954711160199,4504.84100564056,38.3631351830999,NaN,NaN,0,0,0,0,35
0,62,0,0,210.402701212443,6150.39854482283,37.2735122898547,NaN,NaN,0,0,0,0,35
0,66,0,0,206.928692585553,5334.16280112957,35.2949376804386,NaN,NaN,0,0,0,0,35
0,77,0,0,183.421272400249,4056.20756916855,34.7224518011588,NaN,NaN,0,0,0,0,35
0,77,0,0,198.377433511428,6467.7327269592,40.5400019339558,NaN,NaN,0,0,0,0,35
0,72,0,0,179.402694726972,3978.05592425895,35.1565686124562,NaN,NaN,0,0,0,0,35
0,59,0,0,212.720003201006,11552.6491092812,50.5280409687782,NaN,NaN,0,0,0,0,35
2,100,0,4,157.727583679593,4046.14718088708,40.3286039223024,NaN,NaN,-1,1,1,1,60
2,110,0,3,138.588402846749,2502.32641425889,36.0948374505897,NaN,NaN,-1,1,1,1,60
0,94,0,0,156.899175873877,4364.34486280893,42.1055037678795,NaN,NaN,0,0,0,0,60
0,101,0,0,170.419377430241,4513.04936676222,39.4199498695753,NaN,NaN,0,0,0,0,60
0,100,0,0,154.915566460076,4293.00524775772,42.2946709275887,NaN,NaN,0,0,0,0,60
0,96,0,NaN,163.178934468031,4018.94003149319,38.8500578684306,NaN,NaN,-1,0,0,0,60
0,106,0,0,162.528759487135,4643.28369293817,41.9258994850727,NaN,NaN,0,0,0,0,60
0,110,0,0,166.75413485964,3723.51992360282,36.5931865300056,NaN,NaN,0,0,0,0,60
0,102,0,4,160.534738965752,4088.37694501854,39.8296453213872,NaN,NaN,-1,0,0,0,60
0,108,0,0,155.501430807253,3214.1434980028,36.4584534132421,NaN,NaN,0,0,0,0,60
0,110,0,0,149.877938483415,3370.54532831006,38.7357862081373,NaN,NaN,0,0,0,0,60
0,106,0,4,156.502851119804,4075.56239645903,40.7916731831348,NaN,NaN,-1,0,0,0,60
0,106,0,4,168.351445023173,3857.88280566293,36.8941633961798,NaN,NaN,-1,0,0,0,60
0,97,0,NaN,158.677147838079,5327.7369197296,45.999911926237,NaN,NaN,-1,0,0,0,60
2,111,0,5,161.730981294943,3219.38754538686,35.0827321879355,NaN,NaN,-1,4,4,6,60
0,100,0,3,166.954173929756,4763.61828233695,41.3400688512522,NaN,NaN,-1,0,0,0,60
0,107,0,5,149.752435022739,3039.15370606243,36.8131041668122,NaN,NaN,-1,0,0,0,60
0,98,0,0,160.093102965792,3824.52098788852,38.629216708251,NaN,NaN,0,0,0,0,60
1,104,0,4,162.380966992178,4126.5947339727,39.5604102319924,NaN,NaN,-1,5,5,5,60
0,100,0,0,166.413739399909,4577.90808564177,40.6578449044519,NaN,NaN,0,0,0,0,60
0,103,0,0,149.543877403031,4221.16764360695,43.4457864645971,NaN,NaN,0,0,0,0,60
0,109,0,0,160.251831694884,4052.74579125307,39.7257110584925,NaN,NaN,0,0,0,0,60
0,113,0,0,155.775786838239,3977.45065688174,40.4857740238968,NaN,NaN,0,0,0,0,60
2,102,0,2,147.166504449021,4034.34451523216,43.1596104987289,NaN,NaN,-1,2.5,2.5,4,60
2,102,0,5,161.851457836434,5275.71865729988,44.8770394008204,NaN,NaN,-1,1.5,1.5,2,60
2,101,0,4,161.323199184507,4875.54950724601,43.2827612916498,NaN,NaN,-1,1,1,1,60
0,115,0,4,157.210863015219,3329.06397141982,36.7010524635069,NaN,NaN,-1,0,0,0,60
0,115,0,0,154.048414974082,3746.30774092847,39.7323717912968,NaN,NaN,0,0,0,0,60
0,107,0,0,161.151598650752,4142.56125214285,39.9392450315373,NaN,NaN,0,0,0,0,60
2,97,0,3,157.948291959756,5037.34842646994,44.935136147573,NaN,NaN,-1,1,1,1,60
0,107,0,4,159.171249992124,3319.08167477349,36.194646791919,NaN,NaN,-1,0,0,0,60
0,106,0,0,155.586755665832,4089.23607691417,41.1006288701035,NaN,NaN,0,0,0,0,60
2,101,0,4,161.897866772378,4284.38320184702,40.4299335533305,NaN,NaN,-1,1,1,1,60
0,98,0,0,169.340169684066,3839.31542905459,36.5903788809563,NaN,NaN,0,0,0,0,60
0,108,0,NaN,149.358146128399,4628.20697574075,45.5488558045628,NaN,NaN,-1,0,0,0,60
2,98,0,5,155.172157581026,4283.08307277044,42.1759088645475,NaN,NaN,-1,2.5,2.5,4,60
2,101,0,3,155.446952911141,3734.8507173904,39.3146497072894,NaN,NaN,-1,1,1,1,60
3,96,0,3,153.162612492144,4348.98969734718,43.0567676986694,NaN,NaN,-1,1,1,1,60
0,109,0,NaN,146.792179508853,2869.74614940487,36.4937776935119,NaN,NaN,-1,0,0,0,60
2,113,0,4,148.553796284148,4109.00291403917,43.1503646325023,NaN,NaN,-1,1.5,1.5,2,60
0,123,0,0,154.186931450415,3329.9541093058,37.4258401907883,NaN,NaN,0,0,0,0,60
0,94,0,0,163.482705745485,5759.21532183706,46.4205028908774,NaN,NaN,0,0,0,0,60
0,107,0,0,157.762103382482,3488.00303069758,37.4356810873877,NaN,NaN,0,0,0,0,60
0,99,0,NaN,173.812568286339,4786.01944931295,39.8021060709898,NaN,NaN,-1,0,0,0,60
2,119,0,NaN,146.336386410541,3226.04228234037,38.8134905433788,NaN,NaN,-1,2.5,2.5,4,60
0,111,0,NaN,151.414519838284,2837.30165975438,35.1791411366763,NaN,NaN,-1,0,0,0,60
0,112,0,0,168.267024963612,3274.61267478604,34.0079891158139,NaN,NaN,0,0,0,0,60
0,106,0,4,165.482735299161,3723.43209339216,36.8738961348546,NaN,NaN,-1,0,0,0,60
0,102,0,0,167.050223770042,4904.99254135893,41.9249075817551,NaN,NaN,0,0,0,0,60
0,98,0,5,156.060692744277,3489.40875725316,37.8514388429622,NaN,NaN,-1,0,0,0,60
0,115,0,0,161.894589259627,3593.8522459827,37.0294937588383,NaN,NaN,0,0,0,0,60
0,103,0,0,164.088286039267,5546.93133436762,45.3888120496652,NaN,NaN,0,0,0,0,60
0,108,0,0,148.60635244622,3140.70799496634,37.711725630768,NaN,NaN,0,0,0,0,60
0,106,0,0,154.612624002439,4018.15377679038,40.9985338198991,NaN,NaN,0,0,0,0,60
0,117,0,0,147.280259051928,3111.99303418856,37.8769297724496,NaN,NaN,0,0,0,0,60
2,93,0,3,163.23710960342,4695.39704755465,41.977567151346,NaN,NaN,-1,2,2,3,60
0,113,0,0,147.063565734533,3376.75051123281,39.5133994961303,NaN,NaN,0,0,0,0,60
0,102,0,0,152.517414626773,3710.40794842104,39.9384674736292,NaN,NaN,0,0,0,0,60
0,111,0,NaN,153.481515785055,3812.20538850818,40.2283357185461,NaN,NaN,-1,0,0,0,60
0,101,0,3,152.710994532039,4294.32728604675,42.9118526340917,NaN,NaN,-1,0,0,0,60
0,107,0,0,158.679160466383,4137.95968125821,40.5390188396045,NaN,NaN,0,0,0,0,60
0,111,0,0,152.850579552769,3329.08880767078,37.748143780734,NaN,NaN,0,0,0,0,60
0,104,0,0,159.454933391494,3793.90646677081,38.6282781025752,NaN,NaN,0,0,0,0,60
0,96,0,0,168.247118786101,4560.14031221125,40.1366819628321,NaN,NaN,0,0,0,0,60
0,109,0,4,157.630339673529,4338.83695530438,41.7875446705692,NaN,NaN,-1,0,0,0,60
0,102,0,NaN,171.265999564169,4465.8427123564,39.0193973929967,NaN,NaN,-1,0,0,0,60
0,89,0,0,169.326354209927,4937.23876231503,41.4970770687762,NaN,NaN,0,0,0,0,60
2,83,0,3,164.168070310918,6072.08086583806,47.4657207631994,NaN,NaN,-1,1.5,1.5,2,60
0,115,0,NaN,152.399449838078,4263.03739765788,42.8426348189809,NaN,NaN,-1,0,0,0,60
0,93,0,0,172.018368923285,5219.75952780298,42.0001094815586,NaN,NaN,0,0,0,0,60
