b0_xanS_all,b0_mel0_all,center_stripe_rad_all,xanSmel_density_all,melxanS_density_all,mean_mel_space_all,var_mel_space_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,mel_CV_all,mean_pca_ratio_mel_all,med_pca_ratio_mel_all,alignment_score_all,mel_med_cluster_size_all,mel_mean_cluster_size_all,mel_cluster_size_75_all,annulus_In_MB
0,0,0,0,0,0,0,47.339464914123,84.5903002370434,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2005886444887,96.7304066573291,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2908062223111,98.9880840542505,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2618910450465,91.6593566068899,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.8187173999762,102.45847843195,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.104143719901,102.349629909676,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3421741595373,94.2505923562089,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.6372752213406,91.4697203478252,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3566827929822,80.9501022591483,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3802824587024,96.21214110404,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.7518970555965,82.2383083377807,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2587021469041,94.4496572801368,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4449264308758,90.6725150383085,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.9555340803926,107.700173707849,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.6642910574622,112.198077808814,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.9161940779773,98.7391125381867,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.535521078129,87.2846594859185,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.7365302452081,100.292044400027,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2382364747049,86.2662079536124,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.9999632268706,107.828230331779,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4534319940375,99.4426583291529,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1805827218375,102.286148597989,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.376621467857,91.3674686944212,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0465537341162,100.884835212701,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.7633961217213,116.992670724931,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3855525357048,96.327360393857,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3071250371045,104.203294235446,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0065063261233,107.641658293629,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1042941155367,102.032703546642,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3034706498891,98.7519153669632,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4825108915294,84.7287856722248,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3498454443546,95.9754429520553,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4815620256895,102.991863058994,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.7387756539448,87.9742330411135,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1588771528817,93.8378575848975,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.9978255407493,101.902383328335,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0085018128095,93.4791545062235,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3619348342109,90.541417032491,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3041628748253,100.341884805971,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0213652086225,103.031561804616,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4061081517256,83.9656868699698,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3840808223414,91.5527740290468,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.9886399211585,98.5054747251308,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2188757690986,91.2489389477041,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0700400908211,95.4357950848303,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1283755294665,105.094499655989,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1538129288797,99.4005117886318,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4276379735954,90.9142680033198,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
